Player,Total Score
195,26763
1,13655
414,6780
458,64197
474,33708
510,36807
533,49584
536,8911
822,23946
890,16749
907,15000
1126,14352
1184,19187
1269,31767
1344,14378
1762,22996
1779,17681
1835,33937
1860,22435
1951,34621
1997,19084
2055,15992
2083,40659
2206,47062
2308,10889
2357,14263
2424,11940
2494,26056
2713,58120
2839,23199
2893,12336
3141,28381
3145,20263
3164,12408
3230,25242
3256,38376
3315,25450
3341,35603
3435,5350
3484,20264
3485,8238
3499,22659
3533,31482
3613,1317
3678,12357
3761,18415
4268,16652
4323,20925
4485,118276
4587,9153
4970,14748
5008,21357
5130,2238
5320,15032
5454,18040
5536,16579
5650,12235
5689,26806
5766,29802
5824,6123
5884,9473
5929,32181
5939,14906
6074,17010
6150,15311
6170,43976
6232,14249
6250,19917
454,345
2,2177
1246,3928
2540,41635
3044,24906
3355,1566
3605,1220
4743,27683
5420,18478
51,12145
3,9884
400,43898
598,17037
602,36826
609,30056
866,60510
869,2099
876,12300
906,69016
910,37209
1006,68061
1190,11169
1426,15681
1522,27954
1805,16956
1992,36363
2046,10013
2122,13073
2211,12987
2321,99680
2515,10099
2606,18182
2752,8304
2863,4580
2870,7425
2917,6409
3072,26724
3217,51072
3281,4213
3438,11397
3476,14298
3768,31225
4041,18206
4115,23670
4158,29440
4292,15389
4580,3555
4809,14059
5045,13880
5061,36767
5354,22748
5434,9223
5475,13309
5481,27134
5562,15744
5742,18184
5823,320
5841,10208
6171,19984
6213,9609
38,17988
4,17689
57,37512
117,4479
293,12015
583,31422
708,23697
714,31709
809,5335
873,17492
966,14085
986,8930
1154,8411
1157,19677
1315,25132
1427,13869
1562,27681
1598,30576
1806,20382
1916,28869
1920,28984
2142,11510
2178,23055
2361,24009
2381,37163
2637,101388
2812,32319
2865,19228
2886,68745
3077,11367
3207,10578
3265,11841
3344,18609
3504,25920
3506,19902
3542,22473
3553,35061
3628,11634
3692,29423
3821,50651
3872,9534
3882,38708
3914,10684
4272,35789
4421,25293
4463,36622
4468,34124
4496,22554
4512,23880
4582,37522
4756,14709
4882,37128
4984,34725
5019,22654
5166,14537
5410,4216
5442,13913
5472,25982
5543,46725
5658,14126
5664,20930
5705,20066
5746,27485
5857,17768
5868,7609
5921,18315
5930,8446
5966,62204
6093,7195
10,23642
5,27164
68,13368
120,15948
150,24364
285,12555
315,28607
342,10102
392,13571
417,26072
419,25233
499,30256
500,15334
1012,13713
1023,24027
1048,30460
1139,15908
1151,15752
1176,33801
1197,6336
1230,29907
1245,28910
1249,65072
1262,3345
1435,25436
1531,48031
1641,55835
1668,39441
1708,31772
1720,31496
1742,32718
1744,18545
1757,46348
1813,42315
1848,17434
1878,28348
1905,18433
1913,20376
1950,33846
1954,40950
2043,30320
2090,36863
2108,2982
2230,8709
2257,16440
2380,20717
2463,23489
2561,25689
2669,12530
2681,34565
2819,18385
2871,35650
2950,21702
3006,16065
3052,46482
3110,32012
3136,9628
3163,44436
3184,10612
3350,26722
3473,66739
3579,27156
3604,22710
3683,17030
3693,46348
3805,8857
3825,18817
3838,29841
3854,20264
3890,29939
3891,9654
3900,27294
3927,28655
3933,21788
4048,23111
4117,25859
4126,38867
4145,12306
4203,16696
4224,42269
4452,47304
4593,22359
4628,32821
4651,5965
4673,10843
4696,32031
4771,9306
4889,26801
4895,20258
4901,11063
4994,54806
5064,13171
5087,35201
5099,32214
5114,22746
5117,33354
5179,35523
5356,23311
5387,19906
5601,13324
5668,30109
5694,25267
5737,14310
5757,26473
5773,18200
5912,11067
5974,29076
5998,7425
6031,8926
6060,24449
6077,40713
6079,12915
6121,15369
6129,38634
6142,39402
6144,17708
6254,14172
6297,28689
6303,24125
6346,3604
6357,35000
6379,50392
60,28041
6,16051
115,20118
181,54568
279,3618
634,21988
703,26280
928,32744
1081,2799
1113,9985
1118,6487
1256,30087
1325,19361
1394,42356
1687,17744
1689,21404
1698,31743
1726,13081
1986,10345
2014,7433
2021,24638
2075,9352
2168,23148
2173,2281
2213,11731
2248,31708
2312,30116
2340,18786
2453,29702
2678,19683
2737,12882
2770,11074
2774,7556
2793,30830
2811,11804
2980,30597
3011,32740
3034,37234
3396,33876
3455,15363
3618,29248
3711,55219
3749,10258
3875,22664
3996,48188
4104,17166
4196,4148
4211,11238
4239,15720
4490,14514
4511,23405
4715,38566
4827,25570
4937,26763
5073,18604
5262,8913
5272,29366
5384,18357
5540,37941
5627,36054
6015,35314
