Player 1,Player 2,Score Player 1,Score Player 2
195,1,99,104
195,22,221,226
195,66,99,104
195,210,300,300
195,233,217,222
195,289,300,300
195,368,300,300
195,414,233,238
195,458,231,231
195,474,300,300
195,584,300,300
195,594,300,300
195,830,300,300
195,865,300,300
195,895,226,226
195,976,99,104
195,1051,99,104
195,1053,225,230
195,1103,300,300
195,1123,99,104
195,1145,228,233
195,1317,300,300
195,1379,300,300
195,1481,204,209
195,1526,99,104
195,1573,99,104
195,1578,300,300
195,1620,300,300
195,1633,99,104
195,1681,99,104
195,1762,300,300
195,1763,234,234
195,1788,99,104
195,1860,224,224
195,1923,300,300
195,1926,300,300
195,1951,220,220
195,1985,300,300
195,2030,300,300
195,2080,300,300
195,2083,226,231
195,2206,300,300
195,2265,300,300
195,2281,229,229
195,2421,202,207
195,2424,99,104
195,2507,216,221
195,2524,99,104
195,2659,300,300
195,2668,222,222
195,2772,300,300
195,2774,99,104
195,2803,233,233
195,2834,99,104
195,2838,233,233
195,2850,99,104
195,2893,99,104
195,2974,226,226
195,3123,99,104
195,3180,300,300
195,3194,300,300
195,3228,224,224
195,3286,99,104
195,3314,300,300
195,3335,99,104
195,3341,300,300
195,3378,300,300
195,3389,99,104
195,3448,200,205
195,3678,300,300
195,3681,99,104
195,3822,240,240
195,3936,219,219
195,3975,300,300
195,3996,99,104
195,4046,300,300
195,4076,99,104
195,4135,300,300
195,4186,205,205
195,4229,204,204
195,4268,300,300
195,4306,219,224
195,4367,300,300
195,4387,239,239
195,4413,215,220
195,4462,300,300
195,4596,221,221
195,4613,300,300
195,4617,300,300
195,4645,300,300
195,4723,300,300
195,4815,300,300
195,4883,300,300
195,4950,300,300
195,4980,300,300
195,5000,224,229
195,5003,223,228
195,5026,222,222
195,5048,236,236
195,5186,300,300
195,5204,300,300
195,5229,219,224
195,5232,223,223
195,5247,300,300
195,5254,99,104
195,5454,218,223
195,5520,99,104
195,5528,300,300
195,5650,211,216
195,5674,231,231
195,5681,99,104
195,5725,300,300
195,5744,223,223
195,5753,300,300
195,5846,300,300
195,5896,99,104
195,5908,300,300
195,5939,300,300
195,5966,99,104
195,5980,300,300
195,5987,218,218
195,6147,300,300
195,6150,300,300
195,6250,99,104
195,6349,300,300
195,6379,99,104
1,414,296,51
1,458,288,53
1,474,104,99
1,510,100,100
1,533,500,0
1,536,276,56
1,822,100,100
1,890,100,100
1,907,100,100
1,1126,104,99
1,1184,500,0
1,1269,100,100
1,1344,104,99
1,1762,104,99
1,1779,100,100
1,1835,104,99
1,1860,296,51
1,1951,328,43
1,1997,500,0
1,2055,100,100
1,2083,280,55
1,2206,104,99
1,2308,300,50
1,2357,104,99
1,2424,100,100
1,2494,104,99
1,2713,280,55
1,2839,500,0
1,2893,100,100
1,3141,500,0
1,3145,500,0
1,3164,104,99
1,3230,100,100
1,3256,288,53
1,3315,500,0
1,3341,104,99
1,3435,104,99
1,3484,500,0
1,3485,324,44
1,3499,500,0
1,3533,100,100
1,3613,296,51
1,3678,500,0
1,3761,104,99
1,4268,104,99
1,4323,100,100
1,4485,500,0
1,4587,288,53
1,4970,500,0
1,5008,100,100
1,5130,500,0
1,5320,104,99
1,5454,272,57
1,5536,104,99
1,5650,260,60
1,5689,300,50
1,5766,500,0
1,5824,500,0
1,5884,308,48
1,5929,500,0
1,5939,500,0
1,6074,308,48
1,6150,500,0
1,6170,100,100
1,6232,104,99
1,6250,100,100
414,210,218,218
414,458,228,218
414,474,225,225
414,790,212,232
414,1074,46,316
414,1762,230,225
414,1860,247,202
414,1997,404,144
414,2083,220,230
414,2206,230,225
414,2421,244,239
414,3145,404,144
414,3315,400,150
414,3341,219,214
414,3435,227,227
414,3484,404,144
414,3533,40,340
414,3678,394,159
414,3761,222,217
414,4268,236,236
414,4587,211,236
414,4970,400,150
414,4980,404,144
414,5320,211,211
414,5454,237,207
414,5650,244,219
414,5689,237,217
414,5987,220,225
414,6008,414,129
414,6150,414,129
414,6170,52,292
414,6250,57,272
458,16,400,150
458,30,234,234
458,41,242,222
458,43,53,288
458,54,224,224
458,133,46,316
458,147,234,229
458,175,221,206
458,201,228,248
458,204,51,296
458,210,215,215
458,224,408,138
458,233,252,197
458,237,195,240
458,274,414,129
458,292,48,308
458,335,390,165
458,353,55,280
458,378,231,226
458,381,48,308
458,395,54,284
458,425,224,239
458,463,52,292
458,470,49,304
458,474,253,248
458,493,57,272
458,507,240,230
458,508,41,336
458,510,47,312
458,520,243,243
458,566,398,153
458,568,54,284
458,584,226,221
458,605,43,328
458,613,207,202
458,619,193,258
458,648,250,195
458,651,57,272
458,664,392,162
458,677,221,216
458,696,210,205
458,719,50,300
458,750,54,284
458,773,390,165
458,781,232,227
458,790,213,243
458,800,226,226
458,826,396,156
458,858,63,248
458,903,394,159
458,918,402,147
458,919,54,284
458,1017,244,199
458,1053,212,232
458,1065,51,296
458,1067,236,236
458,1123,45,320
458,1126,217,212
458,1129,398,153
458,1142,43,328
458,1144,226,211
458,1182,225,225
458,1184,388,168
458,1208,396,156
458,1217,45,320
458,1266,398,153
458,1337,50,300
458,1370,48,308
458,1378,45,320
458,1379,242,242
458,1394,232,232
458,1446,231,226
458,1516,219,229
458,1526,47,312
458,1543,245,240
458,1553,243,238
458,1633,49,304
458,1634,254,214
458,1706,230,235
458,1762,232,232
458,1802,237,232
458,1809,213,223
458,1818,238,208
458,1860,220,215
458,1872,394,159
458,1906,55,280
458,1909,396,156
458,1923,202,197
458,1938,220,220
458,1951,256,206
458,1966,49,304
458,1985,224,219
458,2030,215,210
458,2080,412,132
458,2083,213,223
458,2119,56,276
458,2157,51,296
458,2193,46,316
458,2206,218,218
458,2225,229,224
458,2295,202,202
458,2300,215,245
458,2308,251,186
458,2321,258,198
458,2328,196,231
458,2358,241,246
458,2359,382,177
458,2401,394,159
458,2424,59,264
458,2442,408,138
458,2449,231,231
458,2450,225,220
458,2464,410,135
458,2482,206,206
458,2518,404,144
458,2524,48,308
458,2642,44,324
458,2682,50,300
458,2684,215,240
458,2724,240,240
458,2766,53,288
458,2796,50,300
458,2810,225,220
458,2823,398,153
458,2825,52,292
458,2832,392,162
458,2839,402,147
458,2850,49,304
458,2860,219,234
458,2893,51,296
458,3002,404,144
458,3049,402,147
458,3057,210,235
458,3115,56,276
458,3118,63,248
458,3145,394,159
458,3158,231,231
458,3164,226,226
458,3229,225,225
458,3278,51,296
458,3286,44,324
458,3313,232,227
458,3341,226,221
458,3363,218,218
458,3378,416,126
458,3392,211,206
458,3396,217,217
458,3420,239,219
458,3435,236,236
458,3475,200,250
458,3501,51,296
458,3533,56,276
458,3545,404,144
458,3558,55,280
458,3568,58,268
458,3573,47,312
458,3661,400,150
458,3678,400,150
458,3682,52,292
458,3688,50,300
458,3701,227,222
458,3711,48,308
458,3761,237,232
458,3779,392,162
458,3844,221,216
458,3873,56,276
458,3881,234,224
458,3898,217,212
458,3905,390,165
458,3911,247,247
458,3953,233,233
458,3962,56,276
458,3975,221,221
458,4022,386,171
458,4024,230,225
458,4102,214,234
458,4124,210,240
458,4148,408,138
458,4194,244,239
458,4215,211,211
458,4260,398,153
458,4268,201,196
458,4325,235,230
458,4329,195,260
458,4353,212,232
458,4447,224,219
458,4448,240,240
458,4453,408,138
458,4469,207,247
458,4479,239,194
458,4556,220,220
458,4587,223,233
458,4613,234,229
458,4624,200,220
458,4640,408,138
458,4675,219,244
458,4688,223,223
458,4699,223,238
458,4725,220,240
458,4755,50,300
458,4782,221,221
458,4796,242,237
458,4883,230,225
458,4890,213,213
458,4921,229,229
458,4928,49,304
458,4938,418,123
458,4950,394,159
458,4970,410,135
458,4980,414,129
458,4983,226,226
458,4984,46,316
458,4992,212,242
458,5003,245,205
458,5011,204,254
458,5013,226,226
458,5048,226,236
458,5092,418,123
458,5093,384,174
458,5111,46,316
458,5120,388,168
458,5145,229,229
458,5158,216,211
458,5191,219,219
458,5232,202,232
458,5320,234,229
458,5361,51,296
458,5363,255,200
458,5378,213,218
458,5401,406,141
458,5454,220,220
458,5512,396,156
458,5520,49,304
458,5536,223,218
458,5553,209,209
458,5616,209,204
458,5629,390,165
458,5632,234,214
458,5636,230,230
458,5677,223,218
458,5682,212,252
458,5689,198,223
458,5702,204,234
458,5710,48,308
458,5712,408,138
458,5726,229,229
458,5728,384,174
458,5761,388,168
458,5762,227,222
458,5763,221,221
458,5766,414,129
458,5802,390,165
458,5880,53,288
458,5882,249,249
458,5890,228,228
458,5926,57,272
458,5963,54,284
458,5970,200,265
458,5987,239,209
458,6019,48,308
458,6053,44,324
458,6068,47,312
458,6080,221,221
458,6150,406,141
458,6157,225,225
458,6163,52,292
458,6170,50,300
458,6197,231,196
458,6232,239,234
458,6242,390,165
458,6262,244,214
458,6281,406,141
458,6319,396,156
458,6321,232,227
458,6327,400,150
474,9,300,300
474,40,226,231
474,157,300,300
474,231,300,300
474,354,300,300
474,373,99,104
474,444,99,104
474,478,300,300
474,493,99,104
474,510,99,104
474,536,223,228
474,567,99,104
474,568,99,104
474,650,300,300
474,685,300,300
474,799,221,226
474,863,99,104
474,895,244,249
474,906,99,104
474,913,300,300
474,960,300,300
474,970,300,300
474,976,99,104
474,1051,99,104
474,1126,300,300
474,1127,300,300
474,1144,217,222
474,1145,222,222
474,1157,300,300
474,1244,300,300
474,1307,216,216
474,1501,232,232
474,1548,300,300
474,1578,300,300
474,1634,226,226
474,1762,300,300
474,1809,211,216
474,1835,300,300
474,1839,227,232
474,1842,300,300
474,1860,221,221
474,1946,248,248
474,1951,236,241
474,1964,99,104
474,2046,99,104
474,2080,300,300
474,2083,225,225
474,2206,300,300
474,2289,300,300
474,2295,300,300
474,2308,220,220
474,2359,300,300
474,2398,220,220
474,2406,99,104
474,2424,99,104
474,2484,300,300
474,2549,300,300
474,2637,233,233
474,2687,300,300
474,2692,99,104
474,2704,300,300
474,2803,225,230
474,2812,300,300
474,2838,227,232
474,2850,99,104
474,2871,300,300
474,2893,99,104
474,2928,300,300
474,3049,300,300
474,3145,300,300
474,3164,300,300
474,3230,99,104
474,3273,214,214
474,3341,300,300
474,3347,218,223
474,3357,300,300
474,3431,300,300
474,3435,300,300
474,3489,300,300
474,3524,226,231
474,3533,99,104
474,3561,223,223
474,3568,99,104
474,3588,300,300
474,3595,300,300
474,3630,238,238
474,3635,300,300
474,3651,300,300
474,3655,300,300
474,3669,99,104
474,3678,300,300
474,3744,300,300
474,3760,300,300
474,3761,300,300
474,3803,221,226
474,3836,99,104
474,4076,99,104
474,4102,221,221
474,4210,207,207
474,4268,300,300
474,4298,300,300
474,4306,240,240
474,4323,99,104
474,4367,300,300
474,4453,300,300
474,4456,300,300
474,4543,300,300
474,4553,300,300
474,4583,300,300
474,4587,214,214
474,4590,300,300
474,4644,217,222
474,4672,224,229
474,4699,216,216
474,4715,232,232
474,4755,99,104
474,4887,300,300
474,4946,300,300
474,4950,300,300
474,4970,300,300
474,4980,300,300
474,4996,99,104
474,5003,225,225
474,5042,232,232
474,5107,209,214
474,5204,300,300
474,5229,228,228
474,5232,219,224
474,5320,300,300
474,5361,99,104
474,5454,238,238
474,5536,300,300
474,5650,241,241
474,5724,300,300
474,5728,300,300
474,5748,223,228
474,5846,300,300
474,5886,99,104
474,5962,99,104
474,5963,99,104
474,5980,300,300
474,5981,99,104
474,6053,99,104
474,6147,300,300
474,6150,300,300
474,6170,99,104
474,6232,300,300
474,6241,300,300
474,6321,300,300
474,6383,300,300
510,66,100,100
510,175,292,52
510,265,296,51
510,273,268,58
510,297,280,55
510,336,100,100
510,369,100,100
510,502,100,100
510,504,104,99
510,590,296,51
510,670,104,99
510,799,296,51
510,816,104,99
510,822,100,100
510,865,104,99
510,872,104,99
510,969,104,99
510,1024,500,0
510,1025,100,100
510,1037,500,0
510,1043,500,0
510,1163,100,100
510,1307,308,48
510,1373,320,45
510,1395,104,99
