Player 1,Player 2,Score Player 1,Score Player 2
195,1,99,104
195,22,300,300
195,66,300,300
195,210,209,209
195,233,300,300
195,289,234,239
195,368,300,300
195,414,300,300
195,458,267,267
195,474,300,300
195,584,99,104
195,594,300,300
195,830,99,104
195,865,106,111
195,895,219,219
195,976,138,143
195,1051,267,267
195,1053,99,104
195,1103,220,220
195,1123,300,300
195,1145,300,300
195,1317,300,300
195,1379,300,300
195,1481,300,300
195,1526,300,300
195,1573,234,234
195,1578,267,267
195,1620,204,209
195,1633,300,300
195,1681,300,300
195,1762,99,104
195,1763,99,104
195,1788,300,300
195,1860,214,214
195,1923,300,300
195,1926,300,300
195,1951,300,300
195,1985,109,114
195,2030,267,267
195,2080,99,104
195,2083,300,300
195,2206,300,300
195,2265,300,300
195,2281,300,300
195,2421,300,300
195,2424,300,300
195,2507,300,300
195,2524,300,300
195,2659,300,300
195,2668,300,300
195,2772,99,104
195,2774,300,300
195,2803,300,300
195,2834,127,132
195,2838,300,300
195,2850,300,300
195,2893,300,300
195,2974,300,300
195,3123,213,213
195,3180,267,267
195,3194,211,216
195,3228,300,300
195,3286,99,104
195,3314,238,238
195,3335,127,132
195,3341,267,267
195,3378,267,267
195,3389,221,221
195,3448,267,267
195,3678,101,106
195,3681,300,300
195,3822,300,300
195,3936,300,300
195,3975,300,300
195,3996,300,300
195,4046,300,300
195,4076,267,267
195,4135,300,300
195,4186,99,104
195,4229,177,182
195,4268,99,104
195,4306,158,163
195,4367,300,300
195,4387,267,267
195,4413,216,221
195,4462,99,104
195,4596,300,300
195,4613,300,300
195,4617,300,300
195,4645,300,300
195,4723,150,155
195,4815,267,267
195,4883,300,300
195,4950,267,267
195,4980,113,118
195,5000,267,267
195,5003,121,126
195,5026,225,225
195,5048,99,104
195,5186,99,104
195,5204,300,300
195,5229,229,229
195,5232,300,300
195,5247,224,229
195,5254,300,300
195,5454,300,300
195,5520,125,130
195,5528,99,104
195,5650,121,126
195,5674,213,213
195,5681,300,300
195,5725,231,231
195,5744,103,108
195,5753,99,104
195,5846,178,183
195,5896,300,300
195,5908,300,300
195,5939,99,104
195,5966,300,300
195,5980,267,267
195,5987,267,267
195,6147,267,267
195,6150,115,120
195,6250,300,300
195,6349,219,224
195,6379,300,300
1,414,104,99
1,458,368,33
1,474,300,50
1,510,300,50
1,533,292,52
1,536,368,33
1,822,368,33
1,890,104,99
1,907,300,50
1,1126,108,98
1,1184,104,99
1,1269,272,57
1,1344,300,50
1,1762,100,100
1,1779,108,98
1,1835,368,33
1,1860,264,59
1,1951,300,50
1,1997,368,33
1,2055,104,99
1,2083,104,99
1,2206,300,50
1,2308,104,99
1,2357,100,100
1,2424,300,50
1,2494,104,99
1,2713,324,44
1,2839,104,99
1,2893,104,99
1,3141,104,99
1,3145,312,47
1,3164,300,50
1,3230,368,33
1,3256,100,100
1,3315,112,97
1,3341,368,33
1,3435,500,0
1,3484,104,99
1,3485,104,99
1,3499,312,47
1,3533,104,99
1,3613,500,0
1,3678,104,99
1,3761,100,100
1,4268,100,100
1,4323,104,99
1,4485,104,99
1,4587,100,100
1,4970,368,33
1,5008,300,50
1,5130,300,50
1,5320,108,98
1,5454,500,0
1,5536,300,50
1,5650,112,97
1,5689,108,98
1,5766,500,0
1,5824,104,99
1,5884,104,99
1,5929,104,99
1,5939,100,100
1,6074,320,45
1,6150,104,99
1,6170,368,33
1,6232,500,0
1,6250,104,99
414,210,222,227
414,458,267,267
414,474,300,300
414,790,224,229
414,1074,267,267
414,1762,99,104
414,1860,220,220
414,1997,267,267
414,2083,300,300
414,2206,300,300
414,2421,300,300
414,3145,220,220
414,3315,210,215
414,3341,267,267
