Node 1,Node 2,Score Player 1,Score Player 2
195,1,300,300
195,22,171,386
195,66,138,408
195,210,300,300
195,233,0,500
195,289,300,300
195,368,300,300
195,414,300,300
195,458,300,300
195,474,162,392
195,584,300,300
195,594,300,300
195,830,150,400
195,865,0,500
195,895,0,500
195,976,141,406
195,1051,300,300
195,1053,0,500
195,1103,300,300
195,1123,0,500
195,1145,300,300
195,1317,0,500
195,1379,300,300
195,1481,141,406
195,1526,300,300
195,1573,300,300
195,1578,300,300
195,1620,300,300
195,1633,300,300
195,1681,0,500
195,1762,144,404
195,1763,300,300
195,1788,300,300
195,1860,300,300
195,1923,300,300
195,1926,300,300
195,1951,0,500
195,1985,300,300
195,2030,0,500
195,2080,0,500
195,2083,300,300
195,2206,300,300
195,2265,168,388
195,2281,300,300
195,2421,138,408
195,2424,300,300
195,2507,300,300
195,2524,0,500
195,2659,177,382
195,2668,174,384
195,2772,144,404
195,2774,300,300
195,2803,300,300
195,2834,171,386
195,2838,300,300
195,2850,0,500
195,2893,123,418
195,2974,0,500
195,3123,300,300
195,3180,300,300
195,3194,300,300
195,3228,300,300
195,3286,0,500
195,3314,300,300
195,3335,300,300
195,3341,300,300
195,3378,0,500
195,3389,300,300
195,3448,300,300
195,3678,0,500
195,3681,300,300
195,3822,0,500
195,3936,0,500
195,3975,0,500
195,3996,0,500
195,4046,0,500
195,4076,0,500
195,4135,0,500
195,4186,300,300
195,4229,0,500
195,4268,300,300
195,4306,0,500
195,4367,156,396
195,4387,0,500
195,4413,174,384
195,4462,168,388
195,4596,300,300
195,4613,300,300
195,4617,177,382
195,4645,300,300
195,4723,0,500
195,4815,300,300
195,4883,0,500
195,4950,0,500
195,4980,0,500
195,5000,300,300
195,5003,300,300
195,5026,300,300
195,5048,0,500
195,5186,147,402
195,5204,300,300
195,5229,300,300
195,5232,144,404
195,5247,300,300
195,5254,300,300
195,5454,300,300
195,5520,138,408
195,5528,162,392
195,5650,300,300
195,5674,180,380
195,5681,162,392
195,5725,138,408
195,5744,0,500
195,5753,300,300
195,5846,0,500
195,5896,183,378
195,5908,300,300
195,5939,141,406
195,5966,0,500
195,5980,0,500
195,5987,300,300
195,6147,300,300
195,6150,0,500
195,6250,0,500
195,6349,0,500
195,6379,0,500
1,414,300,300
1,458,300,300
1,474,212,217
1,510,99,104
1,533,300,300
1,536,300,300
1,822,99,104
1,890,99,104
1,907,99,104
1,1126,229,229
1,1184,99,104
1,1269,212,217
1,1344,300,300
1,1762,227,227
1,1779,231,236
1,1835,212,217
1,1860,300,300
1,1951,99,104
1,1997,300,300
1,2055,300,300
1,2083,300,300
1,2206,300,300
1,2308,99,104
1,2357,300,300
1,2424,300,300
1,2494,300,300
1,2713,221,226
1,2839,300,300
1,2893,220,225
1,3141,211,216
1,3145,300,300
1,3164,191,196
1,3230,300,300
1,3256,229,229
1,3315,300,300
1,3341,300,300
1,3435,99,104
1,3484,300,300
1,3485,224,224
1,3499,300,300
1,3533,300,300
1,3613,225,230
1,3678,99,104
1,3761,223,228
1,4268,300,300
1,4323,300,300
1,4485,214,214
1,4587,99,104
1,4970,99,104
1,5008,99,104
1,5130,215,220
1,5320,300,300
1,5454,300,300
1,5536,300,300
1,5650,300,300
1,5689,300,300
1,5766,99,104
1,5824,300,300
1,5884,219,224
1,5929,99,104
1,5939,236,241
1,6074,99,104
1,6150,99,104
1,6170,99,104
1,6232,300,300
1,6250,99,104
414,210,300,300
414,458,300,300
414,474,237,237
414,790,300,300
414,1074,99,104
414,1762,221,226
414,1860,300,300
414,1997,300,300
414,2083,300,300
414,2206,300,300
414,2421,227,232
414,3145,300,300
414,3315,300,300
414,3341,300,300
414,3435,99,104
414,3484,300,300
414,3533,300,300
414,3678,99,104
414,3761,242,247
414,4268,300,300
414,4587,99,104
414,4970,99,104
414,4980,99,104
414,5320,300,300
414,5454,300,300
414,5650,300,300
414,5689,300,300
414,5987,300,300
414,6008,300,300
414,6150,99,104
414,6170,99,104
414,6250,99,104
458,16,300,300
458,30,300,300
458,41,300,300
458,43,300,300
458,54,300,300
458,133,135,410
458,147,132,412
458,175,0,500
458,201,120,420
458,204,171,386
458,210,300,300
458,224,300,300
458,233,0,500
458,237,300,300
458,274,0,500
458,292,159,394
458,335,159,394
458,353,300,300
458,378,0,500
458,381,300,300
458,395,0,500
458,425,150,400
458,463,300,300
458,470,300,300
458,474,162,392
458,493,300,300
458,507,300,300
458,508,123,418
458,510,0,500
458,520,300,300
458,566,0,500
458,568,0,500
458,584,300,300
458,605,300,300
458,613,0,500
458,619,300,300
458,648,141,406
458,651,150,400
458,664,300,300
458,677,300,300
458,696,300,300
458,719,300,300
458,750,0,500
458,773,0,500
458,781,300,300
458,790,300,300
458,800,0,500
458,826,153,398
458,858,300,300
458,903,300,300
458,918,300,300
458,919,0,500
458,1017,300,300
458,1053,0,500
458,1065,300,300
458,1067,0,500
458,1123,0,500
458,1126,138,408
458,1129,300,300
458,1142,120,420
458,1144,0,500
458,1182,129,414
458,1184,0,500
458,1208,300,300
458,1217,300,300
458,1266,300,300
458,1337,300,300
458,1370,0,500
458,1378,300,300
458,1379,300,300
458,1394,0,500
458,1446,300,300
458,1516,300,300
458,1526,300,300
458,1543,0,500
458,1553,0,500
458,1633,300,300
458,1634,300,300
458,1706,300,300
458,1762,165,390
458,1802,300,300
458,1809,300,300
458,1818,300,300
458,1860,300,300
458,1872,300,300
458,1906,0,500
458,1909,300,300
458,1923,300,300
458,1938,300,300
458,1951,0,500
458,1966,153,398
458,1985,300,300
458,2030,0,500
458,2080,0,500
458,2083,300,300
458,2119,300,300
458,2157,0,500
458,2193,300,300
458,2206,300,300
458,2225,300,300
458,2295,0,500
458,2300,0,500
458,2308,0,500
458,2321,300,300
458,2328,300,300
458,2358,300,300
458,2359,138,408
458,2401,135,410
458,2424,300,300
458,2442,300,300
458,2449,300,300
458,2450,300,300
458,2464,300,300
458,2482,0,500
458,2518,165,390
458,2524,0,500
458,2642,117,422
458,2682,300,300
458,2684,300,300
458,2724,147,402
458,2766,300,300
458,2796,0,500
458,2810,156,396
458,2823,300,300
458,2825,0,500
458,2832,300,300
458,2839,300,300
458,2850,0,500
458,2860,300,300
458,2893,141,406
458,3002,300,300
458,3049,300,300
458,3057,0,500
458,3115,300,300
458,3118,300,300
458,3145,300,300
458,3158,300,300
458,3164,153,398
458,3229,300,300
458,3278,300,300
458,3286,0,500
458,3313,300,300
458,3341,300,300
458,3363,300,300
458,3378,0,500
458,3392,0,500
458,3396,156,396
458,3420,0,500
458,3435,0,500
458,3475,300,300
458,3501,300,300
458,3533,300,300
458,3545,0,500
458,3558,300,300
458,3568,300,300
458,3573,0,500
458,3661,0,500
458,3678,0,500
458,3682,300,300
458,3688,300,300
458,3701,0,500
458,3711,165,390
458,3761,159,394
458,3779,0,500
458,3844,300,300
458,3873,300,300
458,3881,300,300
458,3898,300,300
458,3905,0,500
458,3911,144,404
458,3953,300,300
458,3962,300,300
458,3975,0,500
458,4022,300,300
458,4024,300,300
458,4102,300,300
458,4124,0,500
458,4148,300,300
458,4194,144,404
458,4215,300,300
