Player,Total Score
195,28654
1,17256
414,8440
458,60299
474,36085
510,37852
533,50415
536,9398
822,26080
890,22896
907,15196
1126,15801
1184,20019
1269,38508
1344,14620
1762,27820
1779,17396
1835,41919
1860,20351
1951,25836
1997,17088
2055,14732
2083,50155
2206,51207
2308,14021
2357,17079
2424,11696
2494,24460
2713,52262
2839,19212
2893,14432
3141,25944
3145,18372
3164,12533
3230,25072
3256,42955
3315,19656
3341,41272
3435,6670
3484,17064
3485,9887
3499,20550
3533,33212
3613,1344
3678,11283
3761,21660
4268,20442
4323,24072
4485,92094
4587,10440
4970,13227
5008,27212
5130,1359
5320,15220
5454,17026
5536,15554
5650,12858
5689,30819
5766,24813
5824,5706
5884,14176
5929,28113
5939,15402
6074,15371
6150,13134
6170,44360
6232,16790
6250,27428
454,604
2,1635
1246,4836
2540,36789
3044,30260
3355,1127
3605,1433
4743,22935
5420,18150
51,15076
3,11737
400,39607
598,18288
602,34421
609,28734
866,55232
869,2700
876,14714
906,73900
910,37678
1006,92708
1190,14053
1426,12843
1522,22773
1805,13248
1992,36780
2046,11388
2122,10467
2211,14600
2321,87790
2515,7953
2606,13707
2752,12196
2863,4106
2870,6571
2917,6712
3072,17940
3217,58512
3281,2265
3438,13297
3476,11433
3768,33452
4041,17629
4115,14184
4158,23358
4292,14860
4580,3153
4809,9993
5045,13948
5061,32531
5354,21765
5434,9938
5475,11888
5481,23041
5562,14733
5742,17897
5823,900
5841,11324
6171,16146
6213,9691
38,24984
4,13020
57,42800
117,6548
293,13002
583,29364
708,22944
714,29775
809,5874
873,17060
966,16464
986,8788
1154,10286
1157,18816
1315,24541
1427,20276
1562,27649
1598,29746
1806,15945
1916,23913
1920,19437
2142,10239
2178,24124
2361,21951
2381,47480
2637,102569
2812,26559
2865,18973
2886,87192
3077,8385
3207,11707
3265,13220
3344,13515
3504,33984
3506,22334
3542,20797
3553,31622
3628,11130
3692,33733
3821,61632
3872,11696
3882,48296
3914,9580
4272,37980
4421,23468
4463,30168
4468,35928
4496,21197
4512,18996
4582,33490
4756,17984
4882,39232
4984,41064
5019,16974
5166,10341
5410,4848
5442,13281
5472,20955
5543,64792
5658,21528
5664,24656
5705,16125
5746,37512
5857,14598
5868,10180
5921,16953
5930,11296
5966,60348
6093,6439
10,27373
5,28088
68,10569
120,16426
150,20323
285,11449
315,24765
342,10881
392,14164
417,29684
419,36992
499,41852
500,11913
1012,13293
1023,30796
1048,22968
1139,15683
1151,17859
1176,35230
1197,5938
1230,35200
1245,34319
